"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer's signature,Number of exemptions,Number of dependents
13690,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13691,,"1,360",600,580,160,770,"2,670",820
13691,"$1 under $25,000",530,360,70,80,270,760,240
13691,"$25,000 under $50,000",340,160,120,50,190,710,240
13691,"$50,000 under $75,000",200,50,130,30,120,450,130
13691,"$75,000 under $100,000",160,30,130,**,110,400,120
13691,"$100,000 under $200,000",130,**,130,0,80,350,90
13691,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13693,,260,90,140,0,150,490,80
13693,"$1 under $25,000",80,50,20,0,40,120,20
13693,"$25,000 under $50,000",60,40,30,0,40,120,20
13693,"$50,000 under $75,000",40,**,30,0,40,90,20
13693,"$75,000 under $100,000",30,**,20,0,**,60,20
13693,"$100,000 under $200,000",50,**,40,0,30,100,**
13693,"$200,000 or more",**,**,**,0,**,**,**
,,,,,,,,
13694,,730,310,320,90,360,"1,400",390
13694,"$1 under $25,000",230,150,40,30,100,310,70
13694,"$25,000 under $50,000",180,90,50,30,80,310,80
13694,"$50,000 under $75,000",120,40,60,30,70,240,70
13694,"$75,000 under $100,000",80,30,60,**,40,200,60
13694,"$100,000 under $200,000",120,**,110,**,70,340,110
13694,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13696,,120,60,50,0,50,230,60
13696,"$1 under $25,000",50,30,**,0,30,70,**
13696,"$25,000 under $50,000",30,30,**,0,**,50,40
13696,"$50,000 under $75,000",20,**,50,0,20,50,**
13696,"$75,000 under $100,000",20,**,**,0,**,60,20
13696,"$100,000 under $200,000",**,**,**,0,**,**,**
13696,"$200,000 or more",0,0,0,0,0,0,0
,,,,,,,,
13697,,930,390,400,120,460,"1,850",580
13697,"$1 under $25,000",360,240,60,60,150,520,150
13697,"$25,000 under $50,000",250,100,100,60,120,540,200
13697,"$50,000 under $75,000",140,50,90,**,80,310,80
13697,"$75,000 under $100,000",90,**,70,**,50,240,80
13697,"$100,000 under $200,000",90,**,80,**,60,240,70
13697,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13730,,"1,270",600,480,160,680,"2,270",580
13730,"$1 under $25,000",480,310,80,80,230,700,180
13730,"$25,000 under $50,000",350,190,100,50,190,590,150
13730,"$50,000 under $75,000",210,70,110,30,120,420,100
13730,"$75,000 under $100,000",120,30,100,**,70,290,70
13730,"$100,000 under $200,000",110,**,90,**,70,270,80
13730,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13731,,480,240,190,30,320,790,130
13731,"$1 under $25,000",170,120,30,30,100,220,30
13731,"$25,000 under $50,000",110,60,40,**,80,190,30
13731,"$50,000 under $75,000",70,30,30,**,40,110,40
13731,"$75,000 under $100,000",60,30,40,**,40,120,**
13731,"$100,000 under $200,000",70,**,50,**,60,150,30
13731,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13732,,"3,770","1,570","1,820",290,"1,620","7,370","2,090"
13732,"$1 under $25,000",1150,880,150,110,400,1260,270
13732,"$25,000 under $50,000",770,400,240,100,340,1350,340
13732,"$50,000 under $75,000",570,180,320,40,260,1230,340
13732,"$75,000 under $100,000",470,60,370,40,210,1230,390
13732,"$100,000 under $200,000",690,50,630,**,340,1960,640
13732,"$200,000 or more",120,**,110,**,70,340,110
,,,,,,,,
13733,,"2,200",980,920,250,"1,110","4,140","1,160"
13733,"$1 under $25,000",800,540,140,110,350,1150,310
13733,"$25,000 under $50,000",580,290,190,90,290,1060,300
13733,"$50,000 under $75,000",370,110,210,50,200,800,230
13733,"$75,000 under $100,000",200,20,160,**,110,490,140
13733,"$100,000 under $200,000",250,20,220,**,160,640,180
13733,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13734,,"1,000",420,420,120,550,"1,930",580
13734,"$1 under $25,000",380,250,70,50,180,540,160
13734,"$25,000 under $50,000",280,120,100,50,160,550,170
13734,"$50,000 under $75,000",150,50,100,20,90,360,110
13734,"$75,000 under $100,000",110,**,80,**,70,260,70
13734,"$100,000 under $200,000",80,**,70,**,50,220,70
13734,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13736,,"1,070",430,490,140,480,"2,130",640
13736,"$1 under $25,000",400,250,90,60,150,590,160
13736,"$25,000 under $50,000",300,120,110,60,130,600,190
13736,"$50,000 under $75,000",150,60,90,20,80,340,110
13736,"$75,000 under $100,000",100,**,90,**,50,280,90
13736,"$100,000 under $200,000",120,**,110,**,70,320,90
13736,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13739,,420,210,180,40,270,760,200
13739,"$1 under $25,000",160,120,30,**,90,220,50
13739,"$25,000 under $50,000",110,50,50,40,70,210,50
13739,"$50,000 under $75,000",70,40,40,**,50,150,40
13739,"$75,000 under $100,000",40,**,30,**,30,90,30
13739,"$100,000 under $200,000",40,**,30,**,30,90,30
13739,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13740,,240,120,100,0,170,410,100
13740,"$1 under $25,000",90,70,20,0,60,120,30
13740,"$25,000 under $50,000",50,20,40,0,30,80,40
13740,"$50,000 under $75,000",40,30,**,0,30,70,**
13740,"$75,000 under $100,000",30,**,20,0,30,60,30
13740,"$100,000 under $200,000",30,**,20,0,20,80,**
13740,"$200,000 or more",**,**,**,0,**,**,**
,,,,,,,,
13743,,"1,690",760,720,180,670,"3,210",910
13743,"$1 under $25,000",610,430,90,80,210,810,200
13743,"$25,000 under $50,000",430,210,140,70,150,810,250
13743,"$50,000 under $75,000",280,90,160,30,130,610,180
13743,"$75,000 under $100,000",190,30,160,**,90,480,130
13743,"$100,000 under $200,000",180,**,170,**,90,500,150
13743,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13744,,540,240,240,50,270,"1,000",270
13744,"$1 under $25,000",200,130,30,20,80,260,70
13744,"$25,000 under $50,000",130,70,40,30,50,220,50
13744,"$50,000 under $75,000",70,40,50,**,40,160,40
13744,"$75,000 under $100,000",70,**,60,**,50,190,60
13744,"$100,000 under $200,000",70,**,60,**,50,170,50
13744,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13746,,"1,260",550,570,110,630,"2,370",640
13746,"$1 under $25,000",450,310,80,50,190,580,140
13746,"$25,000 under $50,000",310,160,100,60,160,560,150
13746,"$50,000 under $75,000",210,60,130,**,120,450,110
13746,"$75,000 under $100,000",120,20,100,**,60,300,80
13746,"$100,000 under $200,000",170,**,160,0,100,480,160
13746,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13748,,"1,800",870,690,210,790,"3,290",930
13748,"$1 under $25,000",690,500,100,90,250,910,230
13748,"$25,000 under $50,000",430,220,120,70,180,750,210
13748,"$50,000 under $75,000",300,110,150,50,150,640,200
13748,"$75,000 under $100,000",180,40,140,**,90,440,120
13748,"$100,000 under $200,000",200,**,180,**,120,550,170
13748,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13750,,490,240,190,50,270,890,250
13750,"$1 under $25,000",200,140,40,20,100,300,90
13750,"$25,000 under $50,000",150,70,50,30,80,270,70
13750,"$50,000 under $75,000",70,30,60,**,60,150,60
13750,"$75,000 under $100,000",30,**,**,**,**,70,**
13750,"$100,000 under $200,000",40,**,40,0,30,100,30
13750,"$200,000 or more",0,0,0,0,0,0,0
,,,,,,,,
13751,,120,70,40,0,60,220,70
13751,"$1 under $25,000",50,40,**,0,20,60,**
13751,"$25,000 under $50,000",50,30,40,0,40,100,70
13751,"$50,000 under $75,000",**,**,**,0,**,**,**
13751,"$75,000 under $100,000",20,**,**,0,**,60,**
13751,"$100,000 under $200,000",**,**,**,0,**,**,**
13751,"$200,000 or more",0,0,0,0,0,0,0
,,,,,,,,
13752,,320,170,120,30,210,560,140
13752,"$1 under $25,000",120,80,20,30,70,160,40
13752,"$25,000 under $50,000",90,50,30,**,50,150,30
13752,"$50,000 under $75,000",60,40,40,**,60,100,40
13752,"$75,000 under $100,000",20,**,**,**,**,60,**
13752,"$100,000 under $200,000",30,**,30,**,30,90,30
13752,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13753,,"1,900",940,720,180,"1,110","3,410",890
13753,"$1 under $25,000",710,510,90,80,370,900,190
13753,"$25,000 under $50,000",490,260,140,70,280,850,230
13753,"$50,000 under $75,000",260,100,140,30,160,550,150
13753,"$75,000 under $100,000",170,30,130,**,110,420,120
13753,"$100,000 under $200,000",230,40,190,**,160,600,200
13753,"$200,000 or more",40,**,30,**,30,90,**
,,,,,,,,
13754,,"1,310",600,540,160,620,"2,520",730
13754,"$1 under $25,000",580,380,110,90,230,850,220
13754,"$25,000 under $50,000",320,140,130,50,150,660,210
13754,"$50,000 under $75,000",170,50,100,20,90,380,110
13754,"$75,000 under $100,000",120,30,100,**,70,310,90
13754,"$100,000 under $200,000",120,**,100,**,80,320,100
13754,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13755,,580,270,240,60,400,"1,050",250
13755,"$1 under $25,000",220,140,50,30,140,310,70
13755,"$25,000 under $50,000",160,80,50,30,100,270,60
13755,"$50,000 under $75,000",100,50,50,**,70,200,50
13755,"$75,000 under $100,000",60,**,50,**,50,160,40
13755,"$100,000 under $200,000",40,**,40,**,40,110,30
13755,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13756,,210,100,80,20,140,400,100
13756,"$1 under $25,000",100,60,20,20,60,150,30
13756,"$25,000 under $50,000",50,40,40,**,50,110,30
13756,"$50,000 under $75,000",30,**,**,**,**,70,40
13756,"$75,000 under $100,000",30,**,20,**,30,70,**
13756,"$100,000 under $200,000",**,**,**,**,**,**,**
13756,"$200,000 or more",0,0,0,0,0,0,0
,,,,,,,,
13757,,460,200,200,40,280,860,220
13757,"$1 under $25,000",160,110,30,20,90,230,70
13757,"$25,000 under $50,000",110,50,40,20,70,200,50
13757,"$50,000 under $75,000",80,40,40,**,50,150,30
13757,"$75,000 under $100,000",50,**,40,**,30,130,30
13757,"$100,000 under $200,000",60,**,50,**,40,150,40
13757,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13760,,"21,090","10,640","7,680","2,370","8,920","37,610","10,200"
13760,"$1 under $25,000",7800,5690,840,1150,2710,9790,2490
13760,"$25,000 under $50,000",5100,2870,1280,790,2030,8670,2310
13760,"$50,000 under $75,000",3040,1280,1410,280,1490,5950,1500
13760,"$75,000 under $100,000",1930,450,1360,90,970,4460,1170
13760,"$100,000 under $200,000",2690,300,2320,60,1390,7300,2290
13760,"$200,000 or more",530,50,470,**,330,1440,440
,,,,,,,,
13775,,740,330,300,70,410,"1,310",330
13775,"$1 under $25,000",260,170,50,30,130,370,90
13775,"$25,000 under $50,000",200,100,70,40,100,350,90
13775,"$50,000 under $75,000",120,40,60,**,70,240,70
13775,"$75,000 under $100,000",70,20,50,**,50,150,30
13775,"$100,000 under $200,000",90,**,70,**,60,200,50
13775,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13776,,340,170,140,30,180,560,120
13776,"$1 under $25,000",140,90,30,30,70,190,50
13776,"$25,000 under $50,000",80,40,50,**,40,130,30
13776,"$50,000 under $75,000",40,40,**,0,20,70,20
13776,"$75,000 under $100,000",40,**,30,0,30,80,**
13776,"$100,000 under $200,000",40,**,30,0,20,90,20
13776,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13777,,370,170,160,40,180,710,220
13777,"$1 under $25,000",140,100,30,**,60,220,60
13777,"$25,000 under $50,000",100,50,30,40,50,200,70
13777,"$50,000 under $75,000",50,20,30,**,20,100,30
13777,"$75,000 under $100,000",40,**,30,**,20,90,30
13777,"$100,000 under $200,000",40,**,40,0,30,100,30
13777,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13778,,"2,630","1,240","1,080",270,"1,360","4,890","1,340"
13778,"$1 under $25,000",900,630,160,100,390,1200,300
13778,"$25,000 under $50,000",710,390,190,110,350,1230,330
13778,"$50,000 under $75,000",430,150,240,40,240,910,250
13778,"$75,000 under $100,000",270,50,200,20,170,640,170
13778,"$100,000 under $200,000",280,20,250,**,180,810,270
13778,"$200,000 or more",40,**,40,0,30,100,20
,,,,,,,,
13780,,480,200,210,60,280,940,270
13780,"$1 under $25,000",170,100,30,30,80,260,70
13780,"$25,000 under $50,000",120,60,40,30,60,240,90
13780,"$50,000 under $75,000",90,40,60,**,60,210,60
13780,"$75,000 under $100,000",50,**,40,**,40,120,20
13780,"$100,000 under $200,000",50,**,40,0,40,110,30
13780,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13782,,320,160,120,40,190,550,130
13782,"$1 under $25,000",120,80,30,**,60,160,30
13782,"$25,000 under $50,000",80,40,20,40,50,140,40
13782,"$50,000 under $75,000",60,40,20,**,40,110,30
13782,"$75,000 under $100,000",30,**,30,**,20,70,30
13782,"$100,000 under $200,000",30,**,20,**,20,70,**
13782,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13783,,"1,020",490,370,130,560,"1,870",540
13783,"$1 under $25,000",430,280,70,70,200,640,190
13783,"$25,000 under $50,000",260,130,80,40,130,470,130
13783,"$50,000 under $75,000",140,50,70,20,100,300,90
13783,"$75,000 under $100,000",90,30,70,**,60,230,70
13783,"$100,000 under $200,000",100,**,80,**,70,230,60
13783,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13786,,170,70,80,0,110,270,60
13786,"$1 under $25,000",50,30,**,0,30,60,30
13786,"$25,000 under $50,000",50,40,50,0,50,80,**
13786,"$50,000 under $75,000",30,**,**,0,**,50,30
13786,"$75,000 under $100,000",40,**,30,0,30,80,**
13786,"$100,000 under $200,000",**,**,**,0,**,**,**
13786,"$200,000 or more",**,**,**,0,**,**,**
,,,,,,,,
13787,,"1,470",640,630,190,760,"2,950",910
13787,"$1 under $25,000",600,380,110,100,290,930,290
13787,"$25,000 under $50,000",400,200,140,60,180,810,270
13787,"$50,000 under $75,000",210,60,150,30,130,510,150
13787,"$75,000 under $100,000",130,**,110,**,80,320,80
13787,"$100,000 under $200,000",130,**,120,**,80,380,120
13787,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13788,,420,190,170,50,270,780,230
13788,"$1 under $25,000",140,100,20,**,80,190,50
13788,"$25,000 under $50,000",130,60,50,50,80,260,90
13788,"$50,000 under $75,000",60,30,30,**,40,120,40
13788,"$75,000 under $100,000",40,**,30,**,30,80,20
13788,"$100,000 under $200,000",50,**,40,**,40,130,30
13788,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13790,,"8,420","4,570","2,560","1,150","3,390","14,680","4,100"
13790,"$1 under $25,000",3600,2500,420,640,1230,5170,1560
13790,"$25,000 under $50,000",2280,1300,550,360,870,3880,1060
13790,"$50,000 under $75,000",1220,510,590,100,570,2450,640
13790,"$75,000 under $100,000",650,170,440,30,360,1450,360
13790,"$100,000 under $200,000",570,90,480,20,280,1480,420
13790,"$200,000 or more",100,**,80,**,80,250,60
,,,,,,,,
13795,,"1,730",790,680,220,730,"3,230",920
13795,"$1 under $25,000",670,450,100,110,240,920,250
13795,"$25,000 under $50,000",470,230,150,80,180,870,250
13795,"$50,000 under $75,000",260,80,150,30,130,560,150
13795,"$75,000 under $100,000",150,30,120,**,70,390,120
13795,"$100,000 under $200,000",180,**,160,**,110,490,150
13795,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13796,,580,290,240,60,280,"1,050",260
13796,"$1 under $25,000",230,160,40,30,80,310,80
13796,"$25,000 under $50,000",160,90,50,30,80,290,70
13796,"$50,000 under $75,000",80,40,40,**,50,160,40
13796,"$75,000 under $100,000",50,**,50,**,30,130,30
13796,"$100,000 under $200,000",60,**,60,0,40,160,40
13796,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13797,,900,390,370,120,480,"1,790",570
13797,"$1 under $25,000",350,230,60,50,170,500,140
13797,"$25,000 under $50,000",250,110,80,70,130,510,180
13797,"$50,000 under $75,000",150,50,90,**,90,370,130
13797,"$75,000 under $100,000",70,**,60,**,40,200,60
13797,"$100,000 under $200,000",80,**,80,0,50,210,60
13797,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13801,,520,230,220,60,290,"1,040",320
13801,"$1 under $25,000",210,130,50,30,90,330,90
13801,"$25,000 under $50,000",160,70,60,30,90,320,100
13801,"$50,000 under $75,000",90,30,60,**,60,230,80
13801,"$75,000 under $100,000",30,**,20,**,20,70,20
13801,"$100,000 under $200,000",30,**,30,**,30,90,30
13801,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13802,,410,190,180,30,170,770,220
13802,"$1 under $25,000",150,110,20,30,50,200,60
13802,"$25,000 under $50,000",100,50,40,**,40,180,40
13802,"$50,000 under $75,000",70,30,40,**,50,150,50
13802,"$75,000 under $100,000",40,**,30,**,**,100,30
13802,"$100,000 under $200,000",50,**,50,**,30,140,40
13802,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13803,,"1,830",780,820,210,980,"3,730","1,210"
13803,"$1 under $25,000",700,450,150,90,330,1060,330
13803,"$25,000 under $50,000",480,220,170,80,260,980,340
13803,"$50,000 under $75,000",300,90,190,40,160,680,200
13803,"$75,000 under $100,000",180,20,150,**,110,520,180
13803,"$100,000 under $200,000",150,**,160,**,120,440,160
13803,"$200,000 or more",20,**,**,**,**,50,**
,,,,,,,,
13804,,200,110,80,0,90,360,90
13804,"$1 under $25,000",70,50,30,0,20,120,50
13804,"$25,000 under $50,000",60,60,**,0,30,80,**
13804,"$50,000 under $75,000",50,**,30,0,40,100,40
13804,"$75,000 under $100,000",**,**,**,0,**,**,**
13804,"$100,000 under $200,000",20,**,20,0,**,60,**
13804,"$200,000 or more",**,**,**,0,**,**,**
,,,,,,,,
13807,,620,290,260,60,340,"1,110",300
13807,"$1 under $25,000",230,170,30,20,100,260,60
13807,"$25,000 under $50,000",160,80,50,40,80,280,70
13807,"$50,000 under $75,000",80,40,50,**,50,180,50
13807,"$75,000 under $100,000",60,**,50,**,50,140,40
13807,"$100,000 under $200,000",90,**,80,**,60,250,80
13807,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13808,,770,360,330,60,420,"1,440",400
13808,"$1 under $25,000",300,220,50,30,150,390,90
13808,"$25,000 under $50,000",190,90,70,30,110,350,100
13808,"$50,000 under $75,000",110,50,70,**,60,250,70
13808,"$75,000 under $100,000",90,**,70,**,50,220,60
13808,"$100,000 under $200,000",80,**,70,**,50,230,80
13808,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13809,,710,300,290,90,370,"1,320",350
13809,"$1 under $25,000",260,160,60,40,130,390,100
13809,"$25,000 under $50,000",190,80,60,50,100,360,110
13809,"$50,000 under $75,000",120,40,60,**,60,260,80
13809,"$75,000 under $100,000",70,20,50,0,40,140,20
13809,"$100,000 under $200,000",70,**,60,0,40,170,40
13809,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13810,,530,270,210,40,270,930,220
13810,"$1 under $25,000",210,150,30,**,90,260,50
13810,"$25,000 under $50,000",150,80,50,40,70,240,40
13810,"$50,000 under $75,000",80,40,50,**,50,170,40
13810,"$75,000 under $100,000",40,**,40,**,30,120,40
13810,"$100,000 under $200,000",50,**,40,**,30,140,50
13810,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13811,,"1,940",850,850,220,880,"3,730","1,070"
13811,"$1 under $25,000",690,460,120,100,270,950,250
13811,"$25,000 under $50,000",520,260,170,80,220,950,260
13811,"$50,000 under $75,000",320,100,200,40,170,720,210
13811,"$75,000 under $100,000",180,30,150,**,100,460,130
13811,"$100,000 under $200,000",210,**,190,**,120,590,220
13811,"$200,000 or more",20,**,20,**,**,60,**
,,,,,,,,
13812,,"1,010",470,420,110,530,"1,970",590
13812,"$1 under $25,000",390,270,60,60,180,570,160
13812,"$25,000 under $50,000",270,140,90,30,140,510,150
13812,"$50,000 under $75,000",160,60,100,20,100,380,120
13812,"$75,000 under $100,000",90,**,80,**,50,240,70
13812,"$100,000 under $200,000",100,**,90,**,60,270,90
13812,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13813,,410,200,160,40,200,770,230
13813,"$1 under $25,000",180,120,30,20,80,260,80
13813,"$25,000 under $50,000",100,50,30,20,50,200,70
13813,"$50,000 under $75,000",60,30,40,**,30,130,50
13813,"$75,000 under $100,000",40,**,30,**,40,90,**
13813,"$100,000 under $200,000",30,**,30,0,**,90,30
13813,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13815,,"6,010","3,010","2,120",760,"3,030","10,930","3,130"
13815,"$1 under $25,000",2400,1700,300,370,1040,3280,910
13815,"$25,000 under $50,000",1600,860,430,260,770,2890,860
13815,"$50,000 under $75,000",860,290,450,90,460,1790,480
13815,"$75,000 under $100,000",490,90,370,20,310,1200,340
13815,"$100,000 under $200,000",550,70,480,20,360,1490,460
13815,"$200,000 or more",110,**,90,**,90,280,80
,,,,,,,,
13820,,"7,820","4,290","2,650",720,"3,860","13,340","3,380"
13820,"$1 under $25,000",3050,2340,320,330,1220,3730,860
13820,"$25,000 under $50,000",1920,1190,420,250,910,3080,740
13820,"$50,000 under $75,000",1110,480,520,90,650,2140,510
13820,"$75,000 under $100,000",680,150,490,30,400,1580,410
13820,"$100,000 under $200,000",880,110,750,20,540,2350,720
13820,"$200,000 or more",180,20,150,**,140,460,140
,,,,,,,,
13825,,"1,550",710,620,180,760,"2,870",780
13825,"$1 under $25,000",590,400,100,80,250,820,210
13825,"$25,000 under $50,000",410,200,130,70,190,750,220
13825,"$50,000 under $75,000",270,80,150,30,150,570,150
13825,"$75,000 under $100,000",140,30,110,**,80,340,90
13825,"$100,000 under $200,000",140,**,130,**,90,390,110
13825,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13827,,"5,340","2,510","2,200",510,"2,390","9,980","2,790"
13827,"$1 under $25,000",2020,1430,300,250,780,2700,720
13827,"$25,000 under $50,000",1260,670,390,160,550,2230,590
13827,"$50,000 under $75,000",780,250,440,70,390,1680,460
13827,"$75,000 under $100,000",500,90,390,30,260,1260,380
13827,"$100,000 under $200,000",670,70,580,**,340,1800,540
13827,"$200,000 or more",110,**,100,**,70,310,100
,,,,,,,,
13830,,"2,080",970,850,230,"1,230","3,920","1,110"
13830,"$1 under $25,000",760,520,130,100,400,1060,280
13830,"$25,000 under $50,000",570,280,180,90,320,1050,310
13830,"$50,000 under $75,000",350,120,200,40,220,780,230
13830,"$75,000 under $100,000",190,50,150,**,140,470,130
13830,"$100,000 under $200,000",190,**,190,**,150,510,160
13830,"$200,000 or more",20,**,**,0,**,50,**
,,,,,,,,
13832,,270,110,110,30,140,540,170
13832,"$1 under $25,000",100,60,20,30,50,170,50
13832,"$25,000 under $50,000",90,50,30,**,50,190,70
13832,"$50,000 under $75,000",40,**,30,**,40,90,30
13832,"$75,000 under $100,000",40,**,30,0,**,90,20
13832,"$100,000 under $200,000",**,**,**,**,**,**,**
13832,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13833,,"1,980",890,780,270,830,"3,720","1,070"
13833,"$1 under $25,000",730,490,120,110,270,1020,280
13833,"$25,000 under $50,000",560,270,170,110,210,1050,330
13833,"$50,000 under $75,000",310,80,190,50,150,730,230
13833,"$75,000 under $100,000",180,50,130,**,90,410,100
13833,"$100,000 under $200,000",170,**,150,**,110,440,110
13833,"$200,000 or more",30,**,20,**,**,70,20
,,,,,,,,
13835,,640,290,250,80,310,"1,230",380
13835,"$1 under $25,000",230,150,40,40,100,360,110
13835,"$25,000 under $50,000",190,90,60,40,90,350,110
13835,"$50,000 under $75,000",110,50,60,**,60,220,60
13835,"$75,000 under $100,000",60,**,50,**,30,160,50
13835,"$100,000 under $200,000",50,**,40,**,30,140,50
13835,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13838,,"1,920",960,650,280,920,"3,540","1,060"
13838,"$1 under $25,000",810,540,110,150,330,1210,380
13838,"$25,000 under $50,000",510,280,130,90,240,920,280
13838,"$50,000 under $75,000",260,90,130,40,140,530,140
13838,"$75,000 under $100,000",170,50,120,**,100,410,120
13838,"$100,000 under $200,000",170,**,160,**,110,470,140
13838,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13839,,590,250,240,70,350,"1,110",300
13839,"$1 under $25,000",220,130,50,30,120,330,80
13839,"$25,000 under $50,000",180,80,60,40,110,320,80
13839,"$50,000 under $75,000",90,40,50,**,50,200,60
13839,"$75,000 under $100,000",50,**,40,0,30,130,40
13839,"$100,000 under $200,000",50,**,40,**,40,130,40
13839,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13841,,210,110,90,0,100,390,100
13841,"$1 under $25,000",90,60,30,0,40,120,30
13841,"$25,000 under $50,000",50,50,**,0,20,90,20
13841,"$50,000 under $75,000",40,**,30,0,40,90,20
13841,"$75,000 under $100,000",30,**,30,0,**,90,30
13841,"$100,000 under $200,000",**,**,**,0,**,**,**
13841,"$200,000 or more",0,0,0,0,0,0,0
,,,,,,,,
13842,,170,80,80,0,110,340,80
13842,"$1 under $25,000",60,60,30,0,40,80,20
13842,"$25,000 under $50,000",40,**,**,0,20,70,**
13842,"$50,000 under $75,000",30,20,30,0,20,70,40
13842,"$75,000 under $100,000",20,**,**,0,30,50,**
13842,"$100,000 under $200,000",20,**,20,0,**,70,20
13842,"$200,000 or more",**,**,**,0,**,**,**
,,,,,,,,
13843,,780,370,340,70,430,"1,460",400
13843,"$1 under $25,000",290,210,50,30,150,400,100
13843,"$25,000 under $50,000",230,110,90,40,100,430,120
13843,"$50,000 under $75,000",110,50,70,**,70,240,70
13843,"$75,000 under $100,000",80,**,60,**,60,200,60
13843,"$100,000 under $200,000",70,**,70,**,50,190,50
13843,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13844,,340,160,140,40,180,600,170
13844,"$1 under $25,000",140,100,30,**,60,200,50
13844,"$25,000 under $50,000",90,30,40,40,50,170,50
13844,"$50,000 under $75,000",60,30,30,**,40,110,50
13844,"$75,000 under $100,000",30,**,20,**,30,60,**
13844,"$100,000 under $200,000",20,0,20,0,**,60,20
13844,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
13846,,170,80,70,0,90,280,70
13846,"$1 under $25,000",70,40,**,0,30,80,**
13846,"$25,000 under $50,000",40,40,40,0,40,70,30
13846,"$50,000 under $75,000",30,**,**,0,**,60,40
13846,"$75,000 under $100,000",30,**,30,0,20,70,**
13846,"$100,000 under $200,000",**,**,**,0,**,**,**
13846,"$200,000 or more",**,**,**,0,**,**,**
,,,,,,,,
13849,,"2,000",940,760,250,"1,070","3,680","1,010"
13849,"$1 under $25,000",760,500,130,110,360,1090,290
13849,"$25,000 under $50,000",510,260,150,90,270,930,270
13849,"$50,000 under $75,000",340,120,180,50,190,700,190
13849,"$75,000 under $100,000",200,40,140,**,120,460,120
13849,"$100,000 under $200,000",170,20,160,**,130,450,140
13849,"$200,000 or more",20,**,**,**,**,50,**
,,,,,,,,
13850,,"9,820","4,600","4,370",690,"4,580","18,530","5,120"
13850,"$1 under $25,000",3030,2390,360,230,1130,3290,670
13850,"$25,000 under $50,000",1930,1110,530,240,830,3300,850
13850,"$50,000 under $75,000",1420,570,700,120,730,2900,770
13850,"$75,000 under $100,000",1090,260,760,50,550,2540,690
13850,"$100,000 under $200,000",1730,220,1460,50,890,4670,1490
13850,"$200,000 or more",620,50,560,**,450,1830,650
,,,,,,,,
13856,,"2,660","1,300","1,010",300,"1,710","4,880","1,340"
13856,"$1 under $25,000",1110,750,200,150,680,1600,420
13856,"$25,000 under $50,000",720,350,240,100,450,1350,400
13856,"$50,000 under $75,000",390,130,220,50,260,850,250
